timestamp,tool_name,model_name,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,prompt_time,completion_time,queue_time,total_time
2026-01-06T22:28:49.255341,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,102,284,0,386,0.002135319,0.55196884,0.054699871,0.554104159
2026-01-06T22:31:33.721479,Quiz Maker (Generation),openai/gpt-oss-20b,256,868,462,1124,0.012546753,0.972637485,0.052760857,0.985184238
2026-01-06T22:33:47.151092,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,90,224,0,314,0.001817845,0.441286223,0.054251865,0.443104068
2026-01-06T22:33:47.755710,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,90,243,0,333,0.001686216,0.457209379,0.048831454,0.458895595
2026-01-06T22:33:48.272035,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,94,215,0,309,0.001814265,0.365004037,0.054989435,0.366818302
2026-01-06T22:35:14.409415,Quiz Maker (Generation),openai/gpt-oss-20b,254,695,157,949,0.017174347,0.778811595,0.052786433,0.795985942
2026-01-06T22:37:51.372227,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,107,187,0,294,0.002171779,0.295395005,0.10988131,0.297566784
2026-01-06T22:40:27.330397,Quiz Maker (Generation),openai/gpt-oss-20b,255,646,370,901,0.014497768,0.747365297,0.159379452,0.761863065
2026-01-06T22:41:21.198824,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,88,190,0,278,0.001668617,0.354151942,0.054755093,0.355820559
2026-01-06T22:41:21.828355,Quiz Maker (Explanation),meta-llama/llama-4-maverick-17b-128e-instruct,87,198,0,285,0.001811054,0.37353068,0.049561975,0.375341734
2026-01-06T22:59:41.406052,Career Planner,openai/gpt-oss-120b,194,2346,56,2540,0.008162283,5.046286838,0.046087727,5.054449121
2026-01-06T23:00:10.381812,Career Planner,openai/gpt-oss-120b,187,2994,150,3181,0.008884391,6.307054008,0.056294139,6.315938399
2026-01-06T23:01:43.911090,News Portal,openai/gpt-oss-120b,164,126,91,290,0.00660622,0.26273292,0.05444339,0.26933914
2026-01-06T23:02:30.771794,Career Planner,openai/gpt-oss-120b,194,2567,28,2761,0.007809241,5.406690317,0.055337809,5.414499558
2026-01-06T23:04:53.822103,Career Planner,openai/gpt-oss-120b,194,2624,123,2818,0.007836402,5.487966511,0.054659438,5.495802913
2026-01-06T23:12:17.328869,Notes Assistant (Chunk 1),openai/gpt-oss-20b,3488,2787,100,6275,0.179257427,3.011289285,0.048208953,3.190546712
2026-01-06T23:12:19.471971,Notes Assistant (Chunk 2),llama-3.3-70b-versatile,83,31,0,114,0.003927112,0.078407232,0.053596008,0.082334344
2026-01-06T23:12:30.847329,Notes Assistant (Final),openai/gpt-oss-120b,2833,4212,138,7045,0.125779085,8.855026211,0.055155375,8.980805296
2026-01-08T17:07:51.426640,Resume Scanner,openai/gpt-oss-120b,1946,1338,247,3284,0.098925615,2.845233891,0.055636145,2.944159506
2026-01-08T17:11:07.458147,Mental Health Analyzer,llama-3.1-8b-instant,328,569,0,897,0.02199098,1.110649416,0.050554319,1.132640396
2026-01-08T17:28:28.093419,Notes Assistant (Chunk 1),openai/gpt-oss-20b,3304,3250,236,6554,0.297994794,3.613648444,1.719744709,3.911643238
2026-01-08T17:28:32.388099,Notes Assistant (Chunk 2),llama-3.3-70b-versatile,1293,914,0,2207,0.067149054,1.441232022,0.052962485,1.508381076
2026-01-08T17:28:38.343565,Notes Assistant (Final),openai/gpt-oss-120b,4037,1002,120,5039,0.226045906,2.111074134,0.054702763,2.33712004
2026-01-22T18:16:21.381006,Resume Scanner,openai/gpt-oss-120b,1930,1527,358,3457,0.079606751,3.243259374,0.053210889,3.322866125
2026-01-23T18:44:54.361815,Resume Scanner,openai/gpt-oss-120b,1932,1381,351,3313,0.095485535,2.90662404,0.048999685,3.002109575
2026-01-23T18:51:44.088174,Mental Health Analyzer,llama-3.1-8b-instant,328,653,0,981,0.021170719,0.950582205,0.050394821,0.971752924
2026-01-23T18:58:43.832806,Research Agent,openai/gpt-oss-120b,1740,962,117,2702,0.084685688,2.026773878,0.052947912,2.111459566
2026-01-23T19:04:28.461225,News Portal,openai/gpt-oss-120b,164,130,95,294,0.007037572,0.273833575,0.053221978,0.280871147
